t [s],U_a [V],U_m [V],U_g [V],I [A]
3.9451E-6,2989.5,192.11,2797.4,0.00301333333333296
3.9452E-6,2989.5,192.46,2797.1,0.00315
3.9452E-6,2989.5,192.82,2796.7,0.00315
3.9452E-6,2989.6,193.18,2796.4,0.00315
3.9453E-6,2989.6,193.55,2796,0.00315
3.9453E-6,2989.6,193.92,2795.6,0.00315
3.9453E-6,2989.6,194.3,2795.3,0.00315
3.9454E-6,2989.6,194.69,2794.9,0.00328666666666704
3.9454E-6,2989.6,195.08,2794.5,0.00328666666666704
3.9454E-6,2989.6,195.48,2794.1,0.00328666666666704
3.9455E-6,2989.6,195.88,2793.7,0.00343333333333296
3.9455E-6,2989.6,196.3,2793.3,0.00343333333333296
3.9455E-6,2989.6,196.71,2792.9,0.00343333333333296
3.9456E-6,2989.6,197.14,2792.4,0.00356
3.9456E-6,2989.6,197.58,2792,0.00356
3.9456E-6,2989.6,198.01,2791.6,0.00356
3.9457E-6,2989.6,198.43,2791.2,0.00363000000000028
3.9457E-6,2989.6,198.86,2790.7,0.00363000000000028
3.9457E-6,2989.6,199.3,2790.3,0.00363000000000028
3.9458E-6,2989.6,199.75,2789.9,0.0037833333333338
3.9458E-6,2989.6,200.2,2789.4,0.0037833333333338
3.9458E-6,2989.6,200.66,2789,0.0037833333333338
3.9459E-6,2989.6,201.13,2788.5,0.00398
3.9459E-6,2989.6,201.6,2788,0.00398
3.9459E-6,2989.6,202.08,2787.5,0.00398
3.9459E-6,2989.6,202.57,2787,0.00398
3.946E-6,2989.6,203.07,2786.5,0.00411
3.946E-6,2989.6,203.58,2786,0.00411
3.946E-6,2989.6,204.1,2785.5,0.00411
3.9461E-6,2989.6,204.62,2785,0.00426
3.9461E-6,2989.6,205.16,2784.5,0.00426
3.9461E-6,2989.6,205.72,2783.9,0.00426
3.9462E-6,2989.6,206.25,2783.4,0.00443333333333296
3.9462E-6,2989.6,206.79,2782.9,0.00443333333333296
3.9462E-6,2989.6,207.33,2782.3,0.00443333333333296
3.9462E-6,2989.6,207.89,2781.8,0.00443333333333296
3.9463E-6,2989.7,208.45,2781.2,0.00462
